;marca;preco
0;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074;R$ 999,99
1;Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078;R$ 899,99
2;Cadeira Gamer Husky Gaming Tempest 700, Branco,  Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA077;R$ 999,99
3;Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076;R$ 999,99
4;Cadeira Gamer Husky Gaming Tempest 700, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA075;R$ 999,99
5;Cadeira Gamer Prizi Canvas - Branca;R$ 862,51
6;Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082;R$ 899,99
7;Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto;R$ 1.199,99
8;Cadeira Gamer Raven X-10, Até 150kg, com Almofadas, Descanso  de Braço 2D, Preto - CDRVX10TP;R$ 719,99
9;Cadeira Gamer, Prizi Canvas - Preta;R$ 800,40
10;Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul;R$ 371,15
11;Cadeira Gamer Alpha Gamer Vega, Preto, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 929,99
12;Cadeira Gamer Mx5 Giratória Branco E Azul Marinho - Mymax;R$ 679,15
13;Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e Azul;R$ 679,15
14;Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax;R$ 615,12
15;Cadeira Gamer Prizi Runner, 180KG, Verde;R$ 383,94
16;Cadeira Gamer Husky Gaming Tempest 500 Black e Purple, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - Special Edition;R$ 949,99
17;Cadeira Gamer Husky Gaming Tempest 500, Preto e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA081;R$ 879,99
18;Cadeira Gamer Mymax Mx5, Suportado até 150Kg, Giratória, Preto e Branco;R$ 759,05
19;Cadeira Gamer Alpha Gamer Nebula XL Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza - AGNEBULAXL;R$ 1.599,99
20;Cadeira Gamer ThunderX3 TGC12, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.129,99
21;Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y;R$ 479,90
22;Cadeira Gamer Drakon, Suporta até 140kg, Com Almofadas, Reclinável, Preta - CH31BK;R$ 799,99
23;Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB;R$ 629,99
24;Cadeira Gamer MyMax, Giratoria, Preto -  MX12;R$ 901,55
25;Cadeira Gamer ThunderX3 BC3 Black - 67991;R$ 1.269,99
26;Cadeira Gamer Husky Gaming Snow Limited Edition, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA054;R$ 719,99
27;Cadeira Gamer Raven X-30, Preto,  Até 200Kg, com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto - CDRVX30PP;R$ 1.299,99
28;Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e verde;R$ 679,15
29;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Branco  - CF-9010030-WW;R$ 1.549,99
30;Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Verde - AGKAPPA-BK-GRN;R$ 519,99
31;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Carvão - CF-9010031-WW;R$ 1.949,99
32;Cadeira Gamer Thunderx3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Rosa e Preto - 78203;R$ 1.199,99
33;Cadeira Gamer Stillus Ergonômica Com Apoio Para Os Pés - Rosa;R$ 699,90
34;Cadeira Gamer Alpha Gamer Alegra Fabric Cinza - AGALEGRA-F-GRY;R$ 1.649,99
35;Cadeira Gamer Alpha Gamer Nebula Fabric,  Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza e Azul - AGNEBULA-GRY-BL;R$ 1.499,99
36;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW;R$ 2.099,99
37;Cadeira Gamer Alpha Gamer Vega, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 899,99
38;Cadeira Gamer Escritório Prizi Infinity - Preta;R$ 371,15
39;Cadeira Gamer Husky Gaming Snow, Preto e Vermelho, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BR;R$ 629,99
40;Cadeira Gamer Mymax Mx5, Até 150 Kg, Giratória, Preta e Vermelha;R$ 679,15
41;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010049-WW;R$ 2.339,99
42;Cadeira Gamer ThunderX3 BC3 Camo/CZ, Black Hawk - 67994;R$ 1.199,99
43;Cadeira Gamer Raven X-10, Até 150Kg, com Almofadas, Descanso  de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Vermelho - CDRVX10PV;R$ 699,99
44;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 559,99
45;Cadeira Gamer Fox Racer, 130Kg, Cinza, Com RGB E Iluminação LED;R$ 1.049,94
46;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ 919,99
47;Cadeira Gamer Husky Gaming Polar, Preto, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HPO-BK;R$ 701,99
48;Cadeira Gamer ThunderX3 EC3, Até 120 kg,  Preto - 67998;R$ 1.139,99
49;Cadeira Gamer, XT Racer Draco, Reclinável Ergonômica, Tecido Polyester, Preto e Azul.;R$ 2.299,00
50;Cadeira Gamer DT3 Elise, Até 130 Kg, com Almofadas, Reclinável, Preto e Vermelho - 13442-4;R$ 1.249,99
51;Cadeira Gamer Mymax Mx8, Giratória, 150Kg, Preto E Vermelho;R$ 615,12
52;Cadeira Gamer Alpha Gamer Kappa,  Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Azul - AGKAPPA-BK-BL;R$ 639,99
53;Cadeira Gamer XT Racer Draco, Até 130 Kg, Reclinável Ergonômica, Tecido Polyester, Preto;R$ 2.299,00
54;Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Rosa -  94013900;R$ 568,65
55;Cadeira Gamer Husky Gaming Storm, Branco e Rosa, Com Almofadas, Reclinável, Descanso de Braço 4D - HST-PW;R$ 899,99
56;Cadeira Gamer Husky Gaming Frost, Preto e Vermelho, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HFR-BR;R$ 664,99
57;Cadeira Gamer Husky Gaming Storm, Preto, Vermelho e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-RBW;R$ 969,99
58;Cadeira Gamer Husky Gaming Avalanche, Rosa e Branco, Com Almofadas, Reclinável, Descanso de Braço 3D - HAV-PW;R$ 849,99
59;Cadeira Gamer Raven X-10, Até 150Kg, Com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Azul - CDRVX10PA;R$ 699,99
60;Cadeira Gamer DT3 Royce Ashen, Com Almofadas, Reclinável, Apoio de braço 4D, Cinza e Preto - 13340-1;R$ 2.299,99
61;Cadeira Gamer DT3 Rhino Ashen, Com almofadas, Reclinável, Apoio de braço 4D, Preto - 13341-2;R$ 2.699,99
62;Cadeira Gamer X Fusion, Peso Suportado até 120Kg, Regulagem de altura, Vermelha - C.123;R$ 619,88
63;Cadeira Noblechairs Hero TX Gaming Chair-anthracite - NBL-HRO-TX-ATC;R$ 2.699,99
64;Cadeira Gamer Husky Gaming Storm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BR;R$ 849,99
65;Cadeira Gamer Alpha Gamer Polaris Racing Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço  4D, Preto e Azul - AGPOLARISRE-BK-BL;R$ 1.299,99
66;Cadeira Gamer Noblechairs Hero, Black - NBL-HRO-PU-BLA;R$ 2.899,99
67;Cadeira Gamer Gallant Pro, Até 140 Kg, Giratória, Altura Regulável, Preto e Vermelho;R$ 610,00
68;Cadeira Gamer Husky Gaming Blizzard 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA084;R$ 1.399,99
69;Cadeira Gamer, Prizi, Runner - Amarela;R$ 383,94
70;Cadeira Gamer Prizi Escritório, Infinity - Branca;R$ 371,15
71;Cadeira Gamer Gallant Pro Giratória, Altura Regulável, Preta - GCD10GPUB-AZ;R$ 610,00
72;Cadeira Gamer Mymax MX8, Suportado até 150Kg, Giratória, Preto - Mgch-8170/bk;R$ 615,12
73;Cadeira Gamer Prizi Infinity, Peso suportado pelo produto: 150Kg, Verde;R$ 371,15
74;Cadeira Gamer, Prizi, Infinity, Até 150Kg, inclinação multifuncional  - Amarela;R$ 371,15
75;Cadeira Gamer Noblechairs EPIC, Black - NBL-PU-BLA-002;R$ 2.399,99
76;Cadeira Gamer Alpha Gamer Polaris Racing Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Vermelho - AGPOLARISRE-BK-R;R$ 1.299,99
77;Cadeira Gamer ThunderX3 BC3, Black e Red- 67992;R$ 1.199,99
78;Cadeira Gamer XT Racer Draco, Até 130 Kg, Reclinável Ergonômica, Tecido Polyester, Preto e Dourado;R$ 2.299,00
79;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Azul - 13444-6;R$ 1.299,90
