;marca;preco
0;Notebook Gamer Lenovo Gaming 3i Intel Core i5-11300H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6 Full HD, Windows 11, Preto  - 82MG0009BR;R$ 4.199,99
1;Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Windows 11 Home, Cinza - M515DA-BR1213W;R$ 3.099,99
2;Notebook Acer Aspire 5 Ryzen 7-5700U, 8GB RAM, 256GB SSD NVMe, Tela 15.6 IPS Full HD, Windows 11 Home, Prata - A515-45-R760;R$ 3.599,99
3;Notebook Gamer Acer Nitro 5 Intel Core i7-11800H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6 Full HD 144Hz IPS, Windows 11, Preto - AN515-57-740K;R$ 5.199,99
4;Notebook Asus Intel Core i3 1005G1, 4GB RAM, 256GB SSD, Tela 15.6, Endless OS, Cinza - X515JA-BR2750;R$ 1.949,99
5;Notebook Acer Aspire 5, Intel Core I5 11ª Gen, 8GB, SSD 256GB, 14 Pol. Full HD, Linux Gutta - A514-54-56lf;R$ 2.975,07
6;Notebook Gamer Lenovo Gaming 3i Intel Core i5-11300H, GeForce GTX1650, 8GB RAM, SSD 512GB, 15.6 Full HD, Linux, Preto - 82MGS00200;R$ 3.899,99
7;Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KH2BR;R$ 2.969,10
8;Notebook Acer Aspire 5, Intel Core I7 11ª Gen, 8GB, SSD 512GB, 15.6 Pol. Full HD, Linux Gutta - A515-56-740v;R$ 3.495,05
9;Notebook Gamer Lenovo Legion 5 AMD Ryzen 7-5800H, 16GB RAM, SSD 512GB, GeForce RTX 3050, 15.6 Full HD, Windows 11,  Phantom Blue - 82QJ0000BR;R$ 6.299,99
10;Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, 8GB RAM, SSD 256GB, GeForce GTX 1650, HDD 1TB, 15.6 Full HD, Windows 11, Preto  - AN515-44-R629;R$ 4.999,99
11;Notebook Asus VivoBook 15 Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Azul Cobalto - X513EA-BQ2782W;R$ 3.699,99
12;Notebook Gamer Dell G15 Intel Core i5-12500H, 8GB RAM, GeForce RTX3050, SSD 512GB, 15.6 Full HD, Windows 11, Preto - G15-i1200-A20P;R$ 5.899,99
13;Notebook Lenovo Ultrafino IdeaPad 3i-15IGL Intel Celeron N4020, 4GB RAM, 128GB SSD, Linux, Prata - 82BUS00100;R$ 1.599,99
14;Notebook Gamer Acer Nitro 5 Intel Core i7-11800H, GeForce RTX 3050, 8GB RAM, SSD 512GB, 15.6 Full HD 144Hz, Windows 11, Preto - AN515-57-73G1;R$ 7.599,99
15;Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Linux, Cinza - M515DA-BR1213;R$ 2.999,99
16;Notebook Lenovo IdeaPad 3i Intel Core i7-1165G7, 8GB RAM, SSD 512GB, 15.6 Full HD, Iris Xe Graphics, Windows 11 Home, Cinza - 82MD000RBR;R$ 3.699,99
17;Notebook Gamer Acer Nitro AMD Ryzen 5-5600H, 8GB RAM, GeForce GTX 1650, 512GB SSD, 15.6 Full HD, Windows 11, Preto - AN515-45-R91A;R$ 4.499,99
18;Notebook Lenovo Ultrafino IdeaPad 3 Ryzen 7-5700U, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82MF0004BR;R$ 3.999,99
19;Notebook Asus Intel Core i5-1035G1, 8GB, SSD 256GB, 15.6 Full HD, Intel Graphics 620, Windows 11 Home, Cinza - X515JA-EJ1792W;R$ 3.369,99
20;Notebook Gamer ASUS TUF Intel Core i7-12700H, GeForce RTX 3050, 8GB RAM, SSD 512GB, 15.6 Full HD 144Hz, KeepOS, Cinza - FX507ZC4-HN112;R$ 5.949,99
21;Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, 128GB, Tela 15.6, Windows 11 Pro, Blue - E510MA-BR701X;R$ 1.899,99
22;Notebook Gamer Lenovo Gaming 3 AMD Ryzen 7-5800H, GeForce GTX1650, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Preto  - 82MJ0001BR;R$ 3.999,99
23;Notebook Asus M515da-br1213 AMD Ryzen 5, 8GB RAM, 256GB SSD M.2 NVME, Tela 15.6 polegadas, Sistema Endless Os;R$ 2.417,07
24;Notebook Lenovo Ideapad 3i, I5-1135g7, 256GB RAM, SSD 8GB, Tela 15.6 Full HD,  Win 11 Home - 82md0007br;R$ 3.599,00
25;"Notebook Acer Aspire 5 A514-54-52TY, Intel Core I5 11a Geração, 8GB, 256GB SSD, 14"" Full HD, Windows 11 Home";R$ 3.501,00
26;Notebook Acer Swift 3 Intel Core i5-1135G7 EVO, 16GB RAM, SSD 512GB, 14 Full HD, Windows 11 Home, Azul - SF314-511-56UR;R$ 4.399,99
27;Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, 128GB, Tela 15.6, Windows 11 Pro, Rose Gold - E510MA-BR703X;R$ 1.999,99
28;Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, SSD 256GB, 15.6 HD, Windows 11 Home, Cinza - X515MA-BR765W;R$ 1.729,99
29;Notebook Asus Intel Core I3 4gb Ssd 256gb Tela 15.6 Endless OS - X515ja;R$ 1.889,10
30;Notebook Gamer ASUS TUF Intel Core i7-12700H, GeForce RTX 3050, 16GB RAM, SSD 512GB, 15.6 Full HD 144Hz, Windows 11 Home, Cinza - FX507ZC4-HN113W;R$ 6.799,99
31;Notebook Lenovo Ultrafino Ideapad Ryzen 5-5500U, 8GB, 256GB SSD, 15.6 Full HD, Linux, Cinza - 82MFS00100;R$ 3.399,99
32;"Notebook Acer Aspire 5, Amd Ryzen 3, Windows 11 Home, 8GB, 256GB SSD, 15.6"" Full Hd - A515-45-r6kh";R$ 2.659,05
33;Notebook Lenovo IdeaPad 3i Intel Celeron N4020 Dual Core, 4GB, SSD 128GB, Windows 11, 15.6, Prata - 82BU0006BR;R$ 1.699,99
34;Notebook Acer Intel Core i5, 8GB, 512GB SSD, Tela 15.6 Full HD, Intel Iris Xe, Windows 11, Aspire 3, Prata;R$ 3.059,10
35;Notebook Dell Inspiron Intel Core I3 1115G4, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Windows 11 Home, Preto - I15-I1100-A30P;R$ 2.975,07
36;Notebook HP 256 G8 Intel Core I3, RAM 8GB, SSD 256GB, 15.6 Polegadas HD, Windows 11 Home Sl;R$ 2.474,10
37;Notebook Samsung Book Intel Celeron 6305, 4GB RAM, HD 500GB, 15.6 Full HD, Intel UHD Graphics, Linux, Cinza - NP550XDZ-KO4BR;R$ 1.999,99
38;Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, EMMC 128GB, 15.6 HD, Windows 11 Pro, Preto - E510MA-BR702X;R$ 1.799,99
39;Notebook Gamer ASUS Vivobook Pro 15 AMD Ryzen 7-6800H, 16GB RAM, GeForce RTX3050, SSD 512GB, 15.6 Full HD 144Hz, Windows 11, Azul - M6500RC-HN088W;R$ 6.999,99
40;Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KH2BR;R$ 2.969,10
41;Notebook Acer Aspire 3 Intel Celeron N4020 Dual Core, 4GB RAM, SSD 128GB, 15.6 HD, Windows 11, Microsoft Office, Preto - A315-34-C2BV;R$ 1.949,99
42;Notebook Gamer Acer Nitro 5 An517-54-70y7, Intel Core I7, 8GB, 512GB SSD, Rtx 3050, Linux, Gutta, 17.3 Polegadas, FHD;R$ 5.414,05
43;Notebook Gamer Dell Alienware m15 R6 Intel Core i7-11800H, 16GB RAM, SSD 1TB, GeForce RTX 3070, 15.6 FHD, Windows  11, Preto - AW15-i1100-A30P;R$ 14.999,99
44;Notebook Samsung Book Intel Core i3 4GB;R$ 2.250,00
45;Notebook Gamer Predator Helios 300 Ph315-54-70lh I7 11ª Windows 11 Home 16gb 512gb Ssd Rtx 3070 15,6;R$ 8.549,05
46;Notebook Gamer Acer Nitro 5, Intel Core i7-11800h, 8GB RAM, SSD 512, Nvidia GeForce GTX 1650, Tela de 17.3 Polegadas FHD, Linux - AN517-54-79WA;R$ 5.034,05
47;Notebook Samsung Galaxy Book2 360 Intel Core i5-1235U, 8GB RAM, SSD 256GB, 13.3 FHD AMOLED, Iris Xe, Touch, Windows 11, Prata - NP730QED-KF4BR;R$ 7.099,99
48;Notebook HP Compaq Presario 427 Intel Pentium N3700, 4GB RAM, SSD 240GB, 14 Polegadas LED HD TN, Intel HD Graphics, Linux, Cinza;R$ 989,10
49;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Iris Xe, Windows 11, Cinza - 82MD0007BR;R$ 2.999,99
50;Notebook Compaq Presario 436 14,1´´ Intel Core I3 6157u Windows 10 Home 8gb Ram 240gb Ssd Cinza;R$ 1.869,15
51;Macbook Air M1, 8GB, 256GB SSD, Tela 13.3 Polegadas, Space Gray - MGN63LL/A;R$ 6.599,00
52;"Notebook Acer Aspire 5 Intel Core I3 1115g4 4.10ghz 11ª Geração 8gb Ddr4 256gb SSD 14"" Full Hd Windows 11 A514-54-397j";R$ 2.790,00
53;Notebook Lenovo Ideapad 3i I7-1165g7 16GB, 512GB SSD, 15.6 Polegadas Full HD, Placa De Vídeo Intel Iris® Xe, Windows 11;R$ 4.220,10
54;Notebook Lenovo IdeaPad 3i Intel Core i7-1165G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Windows 11, Cinza - 82MD0008BR;R$ 3.799,99
55;"Notebook Acer Aspire 5 A514-54-56HA, Intel Core I5 11a Geração, 8GB, 512GB SSD, 14"" Full HD, Intel Iris XE Graphics, Windows 11 Home";R$ 3.924,89
56;Notebook Dell Inspiron 15 3000 Intel Core i5;R$ 3.284,10
57;Notebook Samsung Intel Core i3-1115G4, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KV3BR;R$ 2.627,99
58;Notebook Lenovo Ideapad 330-15ikb, Intel Core I3-7020u, 4GB RAM, 1TB, Tela 15.6Polegadas, Windows 10;R$ 1.649,00
59;Notebook Gamer Acer Nitro AMD Ryzen 7-5800H, 8GB RAM, GeForce GTX 1650, 1TB SSD, 15.6 Full HD, Windows 11, Preto - AN515-45-R4S3;R$ 5.499,99
60;Notebook Lenovo Ideapad Gaming 3i I7-11370h, 16GB RAM, SSD 512GB, GTX 1650 4GB, 15.6 Polegadas, FHD, W11- 82mg0000br;R$ 5.550,09
61;Notebook Asus AMD Ryzen 7-3700U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza - M515DA-BR1454W;R$ 3.399,99
62;Notebook VAIO FE15 Intel Core i7-1255U, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Cinza - VJFE54F11X-B0811H;R$ 3.499,99
63;"Macbook Air M1 8GB, 256GB SSD, Tela 13.3"", Gold, 2020 - MGND3LL/A";R$ 6.697,49
